company,tier,job_count,avg_salary,median_salary,avg_experience,disclosed_salary_count,top_skills,salary_data_note
PowerSchool,Startup/Other,5,14.65,15.66,5.5,0,"Data Modeling, SQL, Excel, Machine Learning, NoSQL",estimated_only
Roposo,Startup/Other,5,13.03,12.17,5.0,0,"Spark, Machine Learning, Statistics, A/B Testing, Data Visualization",estimated_only
FICO,Startup/Other,5,14.34,15.28,5.9,0,"Machine Learning, C++, Statistics, SQL, Python",estimated_only
Experis IT Private Limited,Startup/Other,5,14.0,11.8,5.1,0,"SQL, Spark, Scala, Python, Java",estimated_only
CRED,Product,5,15.93,14.1,4.5,0,"Machine Learning, Spark, Scala, Statistics, Airflow",estimated_only
Nestor Services,Startup/Other,5,24.88,25.29,10.2,0,"SAS, R, SQL, Python, Machine Learning",estimated_only
BizViz Technologies Pvt. Ltd.,Startup/Other,5,16.06,16.17,6.7,0,"Spark, SAS, SQL, Python",estimated_only
Meredith Corporation,Startup/Other,5,9.44,7.29,3.3,0,"GCP, Git, Data Modeling, SQL, Communication",estimated_only
News Technology Services,Startup/Other,5,12.79,10.04,5.4,0,Agile,estimated_only
Novo Nordisk India,Startup/Other,5,16.89,19.19,7.0,0,"Machine Learning, Agile, R, ETL, AWS",estimated_only
Otis,Startup/Other,5,9.71,7.68,3.3,0,"Machine Learning, Data Visualization, Power BI, Data Modeling, SAS",estimated_only
PPD,Startup/Other,5,17.29,16.77,6.6,0,"SQL, Statistics, Data Visualization, R, Plotly",estimated_only
ParallelStack Sytems,Startup/Other,5,11.65,12.22,4.1,0,"NoSQL, Docker, Python, C++, Kafka",estimated_only
Balbix,Startup/Other,5,11.38,10.99,4.6,0,"Python, SQL, APIs, Java, NoSQL",estimated_only
Oracle,MNC/IT Services,5,17.23,15.93,8.4,0,"Python, Spark, Docker, Java, Machine Learning",estimated_only
Pegasus Knowledge Solutions India Private Limited,Startup/Other,5,14.54,13.86,6.8,0,"Data Modeling, Machine Learning, Python, SAS, SQL",estimated_only
Athenahealth,Startup/Other,5,14.33,10.94,5.7,0,"Python, Machine Learning, Java, Tableau, Power BI",estimated_only
QuEST Global,Startup/Other,5,18.55,17.47,8.9,0,"Azure, Python, AWS, Spark, Power BI",estimated_only
Grant Thornton India Pvt Ltd,Startup/Other,5,7.52,7.05,3.3,0,,estimated_only
HackerEarth,Startup/Other,5,8.63,9.95,2.8,0,"Machine Learning, SQL, Statistics, Data Visualization, NLP",estimated_only
Intuit Inc.,Product,5,31.02,31.43,13.7,0,"SQL, Java, Spark, AWS, Scala",estimated_only
